id,ftemp,age,educ,annualinc,marital,children,race,homeowner,state
486003,1,34,14,22321.918,1,0,1,1,16
486004,1,26,16,38554.98,1,0,1,1,16
487005,1,27,12,20986.109,1,2,1,1,16
487171,1,33,11,28808.131,1,3,1,1,16
488001,1,47,12,65797.07,4,0,1,0,6
489001,1,45,14,34039.172,4,0,1,0,6
494001,1,47,7,29992.01,4,0,1,0,21
494170,1,25,11,8031.2158,1,2,1,0,21
495001,1,51,13,85840.047,1,2,1,1,4
495170,1,23,14,34113.969,1,0,1,0,4
496175,1,40,12,62231.406,1,2,1,1,43
497001,1,48,12,58083.734,1,1,1,1,43
503001,1,44,15,65359.98,1,0,1,1,22
508001,0,50,17,19568.492,4,0,1,0,18
508003,1,28,14,51385.992,2,0,1,1,31
508171,1,46,12,66615.148,1,0,1,0,19
508172,1,26,14,64862.121,1,1,1,0,31
510001,1,56,12,113128.88,1,0,1,1,20
512170,1,41,16,142831.06,1,2,1,1,4
514170,1,43,14,59567.969,1,2,2,1,37
516002,1,38,17,46747.473,4,0,1,0,37
516021,1,41,14,15637.03,2,0,1,0,46
517001,1,55,16,92676.867,1,0,1,1,29
517008,1,26,14,18698.99,2,0,1,0,29
517170,1,33,14,78477.32,1,1,1,1,29
519001,1,45,16,84846.664,1,0,1,1,3
532021,1,42,12,47668.398,1,1,1,1,13
534021,1,42,14,44293.23,1,1,1,1,16
541001,1,48,14,49084.848,1,2,1,0,4
542170,1,48,17,85547.875,1,1,1,1,22
544021,1,43,16,31552.207,1,2,1,0,12
548007,1,31,13,107519.19,4,0,1,0,21
548008,1,32,14,50347.027,1,2,1,1,9
548009,1,29,13,66416.477,1,0,1,1,21
556170,1,37,11,147207.8,1,3,1,0,42
556171,1,32,12,54928.281,1,2,1,0,42
557004,1,32,11,31554.545,1,2,1,0,42
562003,1,44,12,18907.016,2,0,1,0,13
563006,1,32,9,30261.977,1,2,1,1,13
563170,1,43,11,68718.789,1,1,1,1,13
563175,1,29,8,25693.58,1,2,1,0,13
564170,1,47,12,61122.32,1,2,1,1,10
565003,1,30,12,44643.836,1,1,1,0,13
567003,1,40,13,25150.141,4,0,1,1,13
570170,1,39,12,51422.223,1,2,2,1,1
570171,1,32,12,23958.08,1,2,2,0,1
570172,1,34,15,47916.16,1,2,2,1,1
573170,1,37,17,176004.23,1,4,1,0,41
573171,1,31,13,73271.992,1,2,1,1,21
577171,1,34,14,83677.977,1,1,1,1,21
577174,1,30,12,20697.443,1,1,1,1,41
579001,1,56,16,125049.49,1,0,4,1,4
582003,1,39,17,86482.828,1,2,1,1,31
582004,1,41,14,177523.53,1,0,1,1,29
582175,1,40,13,69055.367,1,2,1,1,31
586170,1,48,16,42949.242,1,0,1,0,4
587001,1,55,15,96533.531,1,0,7,1,4
593001,1,53,17,100641.47,1,0,1,1,34
593003,1,28,16,92560,1,0,1,1,32
595001,1,50,16,99688.984,1,0,1,1,9
596003,1,43,16,110440.91,1,2,1,1,6
596004,1,41,17,89872.016,1,2,1,1,45
596006,1,34,17,235490.39,1,0,1,1,19
596171,1,40,17,532921.19,1,3,1,1,19
597003,1,49,7,22340.617,4,0,1,1,16
597005,0,40,12,23841.211,1,2,1,0,16
597171,1,41,12,49627.117,1,2,1,1,16
602001,1,43,15,76665.859,1,0,1,1,9
602170,1,37,12,16823.246,1,2,1,1,42
605001,1,57,13,276034.47,1,0,1,1,32
607003,1,40,14,145524.89,1,4,1,1,39
607004,1,39,12,65913.938,1,2,1,1,39
607006,1,33,12,52590.906,1,2,1,1,39
608021,1,41,13,56273.441,1,1,1,1,24
608171,1,40,16,78746.117,1,2,1,1,4
608181,1,53,12,58025.301,1,2,1,0,4
608184,1,36,12,15098.266,1,1,1,0,4
610003,1,24,11,31846.717,1,1,1,0,48
613003,1,36,14,107198.97,1,0,1,1,4
613006,1,29,14,41137.777,2,0,1,0,4
618170,1,29,17,68251.313,1,1,1,1,29
620170,1,50,17,90923.836,1,1,1,1,20
620171,1,34,14,108687.88,1,3,1,1,29
620172,1,33,12,44643.836,1,1,1,1,29
620173,1,30,13,93611.813,1,0,1,1,29
625003,1,40,15,111609.59,1,2,1,1,2
625175,1,51,12,11336.263,1,1,1,0,2
626175,1,43,12,121075.95,1,2,1,1,22
626184,1,34,12,57265.656,1,0,1,0,22
628001,1,51,13,99338.383,4,1,1,1,22
628173,1,48,16,14889.07,1,2,1,1,26
629001,1,56,16,134687.66,1,0,1,1,42
630003,1,37,15,93903.984,1,2,1,1,46
630021,1,44,17,78875.844,1,2,1,1,46
631173,1,40,13,35247.594,1,1,1,1,13
632001,0,48,12,80055.047,1,0,1,1,12
633003,1,44,11,8414.5449,4,0,1,0,37
633022,1,41,12,40904.039,4,0,1,0,37
633179,0,33,13,10284.444,1,1,1,0,37
634173,1,25,16,56252.402,1,0,1,1,37
634174,1,26,15,48851.109,1,0,1,0,51
636003,1,37,16,59608.871,1,2,1,1,42
636004,1,34,12,45578.785,4,1,1,1,13
639005,1,34,12,28476.223,4,0,1,0,4
639006,1,33,12,61472.93,1,2,1,0,4
641003,1,38,15,66615.148,1,1,1,1,23
641004,1,34,16,53058.383,1,0,1,1,23
642001,1,58,17,71967.734,4,0,1,0,23
644021,1,43,12,22205.051,1,2,1,1,23
647004,1,33,13,71669.719,1,2,1,1,23
648003,0,55,3,1.1686869,4,0,1,0,23
649001,1,46,14,66650.211,1,0,1,1,21
649172,1,27,12,61053.371,1,0,1,0,21
650003,1,33,16,124582.02,1,0,1,1,42
650004,1,30,14,46747.473,1,0,1,0,9
652001,1,57,12,58096.59,1,0,1,1,48
652005,1,29,12,30072.65,1,3,1,0,48
652170,1,34,13,50370.402,1,1,1,0,22
654001,1,53,16,49669.191,1,0,1,1,30
654003,1,25,12,47951.223,1,0,1,0,46
655001,1,52,17,703970.19,1,0,1,1,4
655003,1,26,16,97702.219,1,0,1,1,4
655004,1,25,15,28282.221,2,0,1,0,4
656001,1,57,12,108687.88,1,0,1,1,9
656170,1,34,16,111025.25,1,1,1,1,12
656172,1,34,14,44877.574,1,2,1,1,9
656173,1,27,12,42141.68,1,2,1,0,12
657004,1,33,14,97001.008,1,0,1,1,31
657005,1,26,12,46747.473,1,0,1,0,31
658001,1,46,10,44643.836,1,0,1,0,39
658003,1,22,12,1525.1364,2,0,1,0,29
660170,1,35,14,42245.691,1,2,1,1,37
662001,1,49,17,53759.594,4,0,1,1,29
664004,1,38,14,118154.24,1,0,1,1,29
664005,1,37,13,71874.242,1,0,1,1,29
664006,1,32,15,87651.516,1,3,1,1,31
664007,1,31,12,56003.473,1,2,1,1,29
664174,1,36,16,98169.695,1,2,1,1,29
671170,1,47,16,42731.867,1,1,1,1,24
672170,1,59,17,75497.172,1,0,1,1,15
673170,1,51,12,70752.305,1,1,1,1,2
674001,1,47,12,61579.277,1,0,1,1,14
674003,1,26,12,51889.695,1,0,1,0,14
674004,1,25,12,24542.424,2,0,1,0,14
674170,1,29,17,51188.484,1,0,1,0,14
677005,1,33,12,52590.906,1,2,1,1,32
677175,1,47,16,126481.13,1,1,1,1,45
677177,1,46,12,60160.492,1,2,1,1,32
686002,1,46,10,22205.051,1,2,1,1,16
686003,1,43,8,41275.684,1,0,1,1,16
686172,1,47,12,34943.738,1,2,1,1,16
687001,1,52,13,81094.008,1,0,1,1,16
691001,1,52,17,93494.945,1,0,1,1,22
691003,1,28,14,22789.393,2,0,1,0,22
691004,1,31,15,15543.535,1,2,1,1,22
691005,1,30,14,46747.473,1,2,1,1,22
691006,1,29,12,42072.727,1,0,1,0,41
692001,1,55,12,32716.219,1,0,1,1,22
692004,1,24,12,29918.383,2,0,1,0,22
692171,1,31,12,71143.813,1,3,1,1,22
692173,1,31,14,103428.79,1,2,1,1,22
694005,1,26,8,17647.172,1,0,1,0,41
694173,1,39,9,58668.078,1,2,1,1,41
697001,1,46,12,84846.664,1,0,1,1,16
698004,1,35,12,67900.703,1,3,1,1,34
698006,1,29,12,66030.805,1,2,1,0,34
698172,1,31,12,63167.523,1,2,1,1,34
700001,1,46,14,57095.027,4,0,1,1,36
700003,0,26,15,57265.656,1,0,1,0,1
700172,1,36,13,14178.509,1,0,1,1,36
702001,1,41,17,109389.09,1,1,1,1,4
