id,week,strtyear,strtmnth,fruitveg,age_ref,educ_ref,gender_ref,fam_size,state
386322,1,2018,1,58.99287796020508,49,13,2,3,2
386322,2,2018,1,63.86740112304688,54,13,2,3,2
386324,1,2018,1,1.589040040969849,57,14,1,4,1
386324,2,2018,1,38.42238998413086,57,14,1,4,1
386325,1,2018,1,2.230080008506775,22,15,2,3,55
386325,2,2018,1,7.039999961853027,22,15,2,3,55
386329,1,2018,1,5.159999847412109,88,10,1,1,
386329,2,2018,1,0,88,10,1,1,
386331,1,2018,1,20.171799659729,78,12,2,4,
386331,2,2018,1,15.97209978103638,78,12,2,4,
386332,1,2018,2,0,62,13,1,2,
386332,2,2018,2,0,62,13,1,2,
386343,1,2018,1,0,39,13,2,4,17
386343,2,2018,1,9.710150241851807,39,13,2,4,17
386346,1,2018,1,0,22,13,1,1,29
386346,2,2018,2,1.47000002861023,22,13,1,1,29
386347,1,2018,1,9.770000457763672,44,16,1,3,48
386347,2,2018,1,24.23999977111816,44,16,1,3,48
386351,1,2018,1,0,48,12,1,1,47
386351,2,2018,2,8.089669942855835,48,12,1,1,47
386352,1,2018,1,5.980000019073486,25,15,2,2,6
386352,2,2018,1,7.669999718666077,25,15,2,2,6
386355,1,2018,1,0,63,10,1,2,
386355,2,2018,1,11.96999955177307,63,10,1,2,
386358,1,2018,1,6,62,13,2,4,25
386358,2,2018,1,67,62,13,2,4,25
386362,1,2018,1,0,62,16,2,2,2
386362,2,2018,1,0,62,16,2,2,2
386363,1,2018,2,4.330000042915344,58,14,2,1,55
386363,2,2018,2,0,58,14,2,1,55
386364,1,2018,1,33.96999931335449,76,12,1,1,12
386364,2,2018,1,0,76,12,1,1,12
386365,1,2018,1,.1500000059604645,82,16,2,1,1
386365,2,2018,2,2.410000085830689,82,16,2,1,1
386367,1,2018,1,0,36,12,2,4,20
386367,2,2018,1,0,36,12,2,4,20
386368,1,2018,1,7.610000014305115,58,14,2,4,26
386368,2,2018,1,15.80000019073486,58,14,2,4,26
386371,1,2018,1,0,36,15,1,1,17
386371,2,2018,1,0,36,15,1,1,17
386372,1,2018,1,6.789999961853027,51,12,1,2,48
386372,2,2018,1,5.989999771118164,51,12,1,2,48
386383,1,2018,1,0,49,14,2,2,42
386383,2,2018,2,0,49,14,2,2,42
386387,1,2018,1,32.8199987411499,32,10,1,4,4
386387,2,2018,2,23.02999973297119,32,10,1,4,4
386389,1,2018,1,53.30999946594238,43,15,2,3,1
386389,2,2018,1,30.33000063896179,43,15,2,3,1
386391,1,2018,1,4.989999771118164,37,15,2,3,8
386391,2,2018,1,47.36999893188477,37,15,2,3,8
386394,1,2018,1,11.64999961853027,34,16,1,3,24
386394,2,2018,1,0,34,16,1,3,24
386395,1,2018,1,4,32,12,1,4,32
386395,2,2018,1,24.95000076293945,32,12,1,4,32
386398,1,2018,1,36.77000045776367,26,13,1,2,12
386398,2,2018,1,13.38000011444092,26,13,1,2,12
386399,1,2018,1,9.400000393390656,63,14,1,2,31
386399,2,2018,1,9.300000190734863,63,14,1,2,31
386403,1,2018,1,20.46000051498413,69,16,2,2,26
386403,2,2018,2,33.97000026702881,69,16,2,2,26
386404,1,2018,1,15.27000045776367,69,15,2,1,9
386404,2,2018,1,26.32999992370606,69,15,2,1,9
386405,1,2018,1,14.15000009536743,25,16,1,1,12
386405,2,2018,1,4.799999952316284,25,16,1,1,12
386408,1,2018,1,6.929999828338623,61,16,2,2,28
386408,2,2018,1,0,61,16,2,2,28
386409,1,2018,1,0,88,15,2,1,37
386409,2,2018,1,0,88,15,2,1,37
386411,1,2018,2,0,30,12,1,2,12
386411,2,2018,2,0,30,12,1,2,12
386412,1,2018,1,16.2000002861023,31,16,2,3,36
386412,2,2018,1,6.640000104904175,31,16,2,3,36
386413,1,2018,1,0,65,15,2,2,48
386413,2,2018,1,16.64000034332275,65,15,2,2,48
386419,1,2018,1,8.749719858169556,34,12,2,2,4
386419,2,2018,2,0,34,12,1,2,4
386421,1,2018,1,3.490000009536743,57,13,2,1,36
386421,2,2018,1,0,57,13,2,1,36
386422,1,2018,1,6,62,13,2,1,24
386422,2,2018,1,0,62,13,2,1,24
386423,1,2018,1,0,25,15,1,1,12
386423,2,2018,1,0,25,15,1,1,12
386425,1,2018,1,16.13093996047974,25,12,2,5,20
386425,2,2018,2,0,25,12,2,5,20
386428,1,2018,1,10.7400004863739,22,13,1,5,13
386428,2,2018,1,5.78000020980835,22,13,1,5,13
386430,1,2018,1,0,37,14,1,2,39
386430,2,2018,1,8.979999542236328,37,14,1,2,39
386431,1,2018,1,12.92090034484863,37,12,1,4,42
386431,2,2018,1,3.05666995048523,37,12,1,4,42
386432,1,2018,1,39.04971981048584,53,15,1,4,36
386432,2,2018,1,22.3100004196167,53,15,1,4,36
386434,1,2018,1,10.65999984741211,32,15,1,1,
386434,2,2018,1,0,32,15,1,1,
386435,1,2018,1,0,24,16,2,4,36
386435,2,2018,1,23.32999992370606,24,16,2,4,36
386437,1,2018,1,3.97000002861023,59,12,2,2,55
386437,2,2018,1,0,59,12,2,2,55
386438,1,2018,1,0,45,12,2,1,8
386438,2,2018,1,9,45,12,2,1,8
386441,1,2018,1,0,26,10,2,3,37
386441,2,2018,1,0,26,10,2,3,37
386442,1,2018,1,2.617909908294678,34,13,1,3,49
386442,2,2018,2,26.04232025146484,34,13,1,3,49
386443,1,2018,1,12.57000041007996,88,13,2,1,
386443,2,2018,1,0,88,13,2,1,
386444,1,2018,1,75.72999954223633,51,15,1,3,39
386444,2,2018,1,32.43999981880188,51,15,1,3,39
386445,1,2018,1,0,55,13,1,3,34
386445,2,2018,1,0,55,13,1,3,34
386450,1,2018,1,0,68,12,2,2,36
386450,2,2018,1,8.069999933242798,68,12,2,2,36
386451,1,2018,1,7.72000002861023,72,13,1,2,47
386451,2,2018,1,2.579999923706055,72,13,1,2,47
386454,1,2018,1,3.149999976158142,26,14,2,2,36
386454,2,2018,1,0,26,14,2,2,36
386455,1,2018,1,17.82000017166138,72,14,1,2,39
386455,2,2018,2,12.35999989509583,72,14,1,2,39
386456,1,2018,1,0,19,12,2,1,41
386456,2,2018,1,0,19,12,2,1,41
386458,1,2018,1,0,67,13,2,1,26
386458,2,2018,1,0,67,13,2,1,26
386461,1,2018,1,36.68000030517578,33,15,2,7,49
386461,2,2018,1,29.20000076293945,33,15,2,7,49
386462,1,2018,1,25.72999978065491,55,12,1,2,36
386462,2,2018,1,42.28999900817871,55,12,1,2,36
386466,1,2018,1,9.140000343322754,82,13,1,1,42
386466,2,2018,1,7.059999942779541,82,13,1,1,42
386470,1,2018,1,3.700000047683716,29,14,2,3,6
386470,2,2018,2,0,29,14,2,3,6
386472,1,2018,1,9.980000376701355,55,16,1,2,29
386472,2,2018,2,10.53999996185303,55,16,1,2,29
